[debug] > Exec(;set _root_.scala.collection.Seq(historyPath := None,shellPrompt := { _ => "" },SettingKey[_root_.scala.Option[_root_.sbt.File]]("sbtStructureOutputFile") in _root_.sbt.Global := _root_.scala.Some(_root_.sbt.file("/private/var/folders/mc/2rm7cxf95h523rz12gy24mwh0000gn/T/sbt-structure.xml")),SettingKey[_root_.java.lang.String]("sbtStructureOptions") in _root_.sbt.Global := "download, resolveSourceClassifiers");apply -cp "/Users/bala/Library/Application Support/JetBrains/IdeaIC2024.2/plugins/Scala/repo/org/jetbrains/scala/sbt-structure-extractor_2.12_1.3/2024.2.2/sbt-structure-extractor-2024.2.2.jar" "org.jetbrains.sbt.CreateTasks" "sbt.jetbrains.LogDownloadArtifacts";preferScala2;*/*:dumpStructure, Some(fb9ca9c6-0dd2-4438-8835-632396362d2d), Some(CommandSource(console0)))
[debug] > Exec(set _root_.scala.collection.Seq(historyPath := None,shellPrompt := { _ => "" },SettingKey[_root_.scala.Option[_root_.sbt.File]]("sbtStructureOutputFile") in _root_.sbt.Global := _root_.scala.Some(_root_.sbt.file("/private/var/folders/mc/2rm7cxf95h523rz12gy24mwh0000gn/T/sbt-structure.xml")),SettingKey[_root_.java.lang.String]("sbtStructureOptions") in _root_.sbt.Global := "download, resolveSourceClassifiers"), None, Some(CommandSource(console0)))
[info] Defining Global / sbtStructureOptions, Global / sbtStructureOutputFile and 1 others.
[info] The new values will be used by cleanKeepGlobs
[info] 	Run `last` for details.
[debug] Defining 
[debug] 	Global / sbtStructureOptions
[debug] 	Global / sbtStructureOutputFile
[debug] 	history
[debug] 	shellPrompt
[debug] 
[debug] The new values will be used by 
[debug] 	cleanKeepGlobs
[info] Reapplying settings...
[info] set current project to zio-learning (in build file:/Users/bala/IdeaProjects/zio-learning/)
[debug] > Exec(apply -cp "/Users/bala/Library/Application Support/JetBrains/IdeaIC2024.2/plugins/Scala/repo/org/jetbrains/scala/sbt-structure-extractor_2.12_1.3/2024.2.2/sbt-structure-extractor-2024.2.2.jar" "org.jetbrains.sbt.CreateTasks" "sbt.jetbrains.LogDownloadArtifacts", None, Some(CommandSource(console0)))
[info] Applying State transformations org.jetbrains.sbt.CreateTasks, sbt.jetbrains.LogDownloadArtifacts from /Users/bala/Library/Application Support/JetBrains/IdeaIC2024.2/plugins/Scala/repo/org/jetbrains/scala/sbt-structure-extractor_2.12_1.3/2024.2.2/sbt-structure-extractor-2024.2.2.jar
[info] Reapplying settings...
[info] set current project to zio-learning (in build file:/Users/bala/IdeaProjects/zio-learning/)
[info] Reapplying settings...
[info] set current project to zio-learning (in build file:/Users/bala/IdeaProjects/zio-learning/)
[debug] > Exec(preferScala2, None, Some(CommandSource(console0)))
[debug] > Exec(*/*:dumpStructure, None, Some(CommandSource(console0)))
[debug] Evaluating tasks: Global / dumpStructure
[warn] sbt 0.13 shell syntax is deprecated; use slash syntax instead: Global / dumpStructure
[debug] Running task... Cancel: Signal, check cycles: false, forcegc: true
[info] downloading https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-ci-release_2.12_1.0/0.7.7/sbt-typelevel-ci-release_2.12_1.0-0.7.7.pom
[info] downloaded https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-ci-release_2.12_1.0/0.7.7/sbt-typelevel-ci-release_2.12_1.0-0.7.7.pom
[info] downloading https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-ci_2.12_1.0/0.7.7/sbt-typelevel-ci_2.12_1.0-0.7.7.pom
[info] downloading https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-no-publish_2.12_1.0/0.7.7/sbt-typelevel-no-publish_2.12_1.0-0.7.7.pom
[info] downloading https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-sonatype-ci-release_2.12_1.0/0.7.7/sbt-typelevel-sonatype-ci-release_2.12_1.0-0.7.7.pom
[info] downloading https://repo1.maven.org/maven2/org/typelevel/sbt-typelevel-versioning_2.12_1.0/0.7.7/sbt-typelevel-versioning_2.12_1.0-0.7.7.pom
